symbol,market,asset_type,trade_date,open,high,low,close,prev_close,volume,amount,pct_change,ret_1d,log_ret_1d,quality_flag,ingest_time,data_version
3690.HK,HK,equity,2018-09-20,72.9,74.0,72.0,72.65,69.0,115846804.0,8438947990.75,0.05289855072463778,0.05289855072463778,0.05154688541903262,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2018-09-21,74.0,74.0,71.95,72.1,72.65,43838241.0,3176663016.75,-0.007570543702684285,-0.007570543702684285,-0.007599345725388703,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2018-09-24,70.65,71.9,69.0,69.0,72.1,31460064.0,2200166444.8,-0.04299583911234384,-0.04299583911234384,-0.04394753969364387,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2018-09-26,69.35,69.6,65.65,68.8,69.0,68632397.0,4703103298.3,-0.0028985507246377384,-0.0028985507246377384,-0.0029027596579614626,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2018-09-27,68.8,69.75,65.65,67.0,68.8,29514806.0,1969154540.5,-0.026162790697674354,-0.026162790697674354,-0.026511125548331852,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2018-09-28,67.05,68.8,65.05,68.75,67.0,26889022.0,1803101582.922,0.026119402985074647,0.026119402985074647,0.025784117155714634,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2018-10-02,68.75,68.75,66.05,66.7,68.75,6611904.0,443955890.0,-0.029818181818181744,-0.029818181818181744,-0.030271783625102563,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2018-10-03,66.5,66.5,65.0,65.05,66.7,13389350.0,871853112.2,-0.02473763118440786,-0.02473763118440786,-0.02504874796306382,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2018-10-04,65.05,65.8,64.95,65.05,65.05,14815600.0,963873670.0,0.0,0.0,0.0,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2018-10-05,64.85,68.0,63.8,67.9,65.05,16945330.0,1111466215.0,0.04381245196003092,0.04381245196003092,0.04287982960613633,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2018-10-08,68.05,69.0,68.0,68.45,67.9,12875421.0,880882700.1,0.008100147275404979,0.008100147275404979,0.008067517169807423,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2018-10-09,68.0,69.3,68.0,68.95,68.45,5585136.0,383280261.4,0.007304601899196461,0.007304601899196461,0.0072780525048528905,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2018-10-10,69.3,69.3,68.5,69.0,68.95,9010000.0,619788603.944,0.0007251631617113397,0.0007251631617113397,0.0007249003579485184,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2018-10-11,67.0,67.0,60.0,62.0,69.0,36620203.0,2340596546.7,-0.10144927536231885,-0.10144927536231885,-0.10697211955216783,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2018-10-12,61.8,62.3,58.25,59.3,62.0,17488088.0,1054191288.1,-0.04354838709677422,-0.04354838709677422,-0.044525079041411814,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2018-10-15,60.0,61.95,53.7,55.45,59.3,11367725.0,649184215.1,-0.06492411467116344,-0.06492411467116344,-0.06712759220730358,PASS,2026-04-20T12:14:39Z,D20260420.01
