symbol,report_date,period_type,revenue,gross_profit,gross_margin,net_profit,non_ifrs_profit,non_ifrs_ebitda,total_assets,total_liabilities,total_equity,operating_cash_flow,external_customer_revenue,integrated_supply_chain_revenue,warehouse_count,warehouse_gfa,overseas_warehouse_area,employee_count,cash_and_cash_equivalents,restricted_cash,term_deposits,trade_receivables,contract_assets,inventories,trade_payables,borrowings,lease_liabilities,current_assets,current_liabilities,investing_cash_flow,financing_cash_flow,free_cash_inflow,capex_net,revenue_jd_group,revenue_external,revenue_integrated_supply_chain,revenue_external_integrated_supply_chain,revenue_other_customers,external_isc_customer_count,external_isc_arpc,receivables_within_3m,receivables_3_to_6m,receivables_6_to_12m,receivables_over_12m,receivables_loss_allowance,payables_within_3m,payables_3_to_6m,payables_6_to_12m,payables_over_12m,supplier_finance_arrangements,net_cash,working_capital,debt_to_asset_ratio,lease_burden_ratio,receivables_ratio,contract_assets_ratio,inventory_ratio,payables_ratio,supplier_finance_ratio,receivables_over_6m_ratio,receivables_over_12m_ratio,payables_over_12m_ratio,receivables_loss_allowance_ratio,free_cash_flow_margin,capex_intensity,operating_cash_flow_margin,cash_conversion_quality_score,external_revenue_ratio,jd_group_revenue_ratio,integrated_supply_chain_revenue_ratio,external_isc_revenue_ratio,external_isc_customer_yoy,external_isc_arpc_yoy,working_capital_pressure_tag,receivables_quality_tag,supplier_finance_usage_tag,cash_flow_quality_tag,customer_structure_tag,globalization_phase_tag,network_expansion_tag,feature_note,data_version,quality_flag,source_summary,updated_at
02618.HK,2021-06-30,semiannual,48472.45,1769.541,0.037,-15213.96,,,74571.306,34165.502,40405.804,239.75,26500.0,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.81588258625912,,,,,,,,,,,,,0.4946108562699018,,54.6702302029297,,,,,,,,,REVIEW,BALANCED,DOMESTIC_CORE,REVIEW,,V1,PARTIAL,fundamental_quarterly+fundamental_statement_items,2026-03-21T02:16:25
02618.HK,2021-12-31,annual,104693.402,5784.076,0.055,-15660.732,,,76795.068,36405.935,40389.133,6207.337,59100.0,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.406605590869454,,,,,,,,,,,,,5.929062272711322,,56.45054881299969,,,,,,,,,REVIEW,BALANCED,DOMESTIC_CORE,REVIEW,,V1,PARTIAL,fundamental_quarterly+fundamental_statement_items,2026-03-21T02:16:25
02618.HK,2022-03-31,quarter,27351.474,1461.369,0.053,-1350.117,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOMESTIC_CORE,REVIEW,季度口径可能未披露完整资产负债表,V1,RAW,fundamental_quarterly+fundamental_statement_items,2026-03-21T02:16:25
02618.HK,2022-06-30,semiannual,58623.176,3634.597,0.062,-1433.499,,,86489.079,38889.015,47600.064,4094.308,7100.0,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.96407575342547,,,,,,,,,,,,,6.984111539777374,,12.11125101785683,,,,,,,,,REVIEW,BALANCED,DOMESTIC_CORE,EXPANDING,,V1,PARTIAL,fundamental_quarterly+fundamental_statement_items,2026-03-21T02:16:25
02618.HK,2022-09-30,quarter,35770.506,2649.007,0.074,-148.687,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOMESTIC_CORE,EXPANDING,季度口径可能未披露完整资产负债表,V1,RAW,fundamental_quarterly+fundamental_statement_items,2026-03-21T02:16:25
02618.HK,2022-12-31,annual,137402.008,10099.637,0.074,-1090.294,,,106697.271,53488.71,53208.561,13314.224,89100.0,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.131282176842184,,,,,,,,,,,,,9.689977747632335,,64.84621389230352,,,,,,,,,REVIEW,EXTERNAL_DOMINANT,DOMESTIC_CORE,EXPANDING,,V1,PARTIAL,fundamental_quarterly+fundamental_statement_items,2026-03-21T02:16:25
02618.HK,2023-03-31,quarter,36728.401,1635.736,0.045,-1036.838,,,,,,2300.0,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.262183861475483,,,,,,,,,,,REVIEW,,DOMESTIC_CORE,STABLE,季度口径可能未披露完整资产负债表,V1,RAW,fundamental_quarterly+fundamental_statement_items,2026-03-21T02:16:25
02618.HK,2023-06-30,semiannual,77761.309,5029.922,0.065,-528.874,,,106794.174,52467.056,54327.118,4298.913,15000.0,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.12913695086026,,,,,,,,,,,,,5.528344436691517,,19.289798735255346,,,,,,,,,REVIEW,BALANCED,DOMESTIC_CORE,EXPANDING,,V1,PARTIAL,fundamental_quarterly+fundamental_statement_items,2026-03-21T02:16:25
02618.HK,2023-09-30,quarter,41662.646,3300.429,0.079,454.3,,,,,,5700.0,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.681320192673313,,,,,,,,,,,REVIEW,,DOMESTIC_CORE,EXPANDING,季度口径可能未披露完整资产负债表,V1,RAW,fundamental_quarterly+fundamental_statement_items,2026-03-21T02:16:25
02618.HK,2023-12-31,annual,166624.712,12683.157,0.076,1167.195,,,112901.717,57528.082,55373.635,16352.016,31400.0,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.95412499351095,,,,,,,,,,,,,9.81367997803351,,18.84474374965461,,,,,,,,,REVIEW,BALANCED,DOMESTIC_CORE,EXPANDING,,V1,PARTIAL,fundamental_quarterly+fundamental_statement_items,2026-03-21T02:16:25
02618.HK,2024-03-31,quarter,42137.338,3231.222,0.077,322.305,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOMESTIC_CORE,STABLE,季度口径可能未披露完整资产负债表,V1,RAW,fundamental_quarterly+fundamental_statement_items,2026-03-21T02:16:25
02618.HK,2024-06-30,semiannual,86344.759,8484.133,0.098,2567.348,,,111451.279,53181.957,58269.322,7382.334,15400.0,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.71767311885223,,,,,,,,,,,,,8.549834507037074,,17.8354774260242,,,,,,,,,REVIEW,BALANCED,DOMESTIC_CORE,STABLE,,V1,PARTIAL,fundamental_quarterly+fundamental_statement_items,2026-03-21T02:16:25
02618.HK,2024-09-30,quarter,44395.616,5197.449,0.117,2444.8,,,,,,6200.0,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.965342884306414,,,,,,,,,,,REVIEW,,DOMESTIC_CORE,STABLE,季度口径可能未披露完整资产负债表,V1,RAW,fundamental_quarterly+fundamental_statement_items,2026-03-21T02:16:25
