symbol,asof_date,trade_year,trade_month,trade_dayofweek,fundamental_anchor_date,fundamental_anchor_period_type,fundamental_lag_days,fundamental_quality_flag,fundamental_data_version,fundamental_anchor_score,fundamental_critical_nonnull_count,fundamental_critical_nonnull_ratio,revenue,gross_profit,gross_margin,net_profit,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,borrowings,lease_liabilities,operating_cash_flow,investing_cash_flow,financing_cash_flow,free_cash_inflow,capex_net,net_cash,working_capital,debt_to_asset_ratio,lease_burden_ratio,trade_receivables,contract_assets,inventories,trade_payables,receivables_ratio,contract_assets_ratio,inventory_ratio,payables_ratio,supplier_finance_arrangements,supplier_finance_ratio,receivables_over_6m_ratio,receivables_over_12m_ratio,payables_over_12m_ratio,receivables_loss_allowance_ratio,free_cash_flow_margin,capex_intensity,operating_cash_flow_margin,cash_conversion_quality_score,revenue_jd_group,revenue_external,revenue_integrated_supply_chain,revenue_external_integrated_supply_chain,revenue_other_customers,external_revenue_ratio,jd_group_revenue_ratio,integrated_supply_chain_revenue_ratio,external_isc_revenue_ratio,warehouse_count,external_isc_customer_count,external_isc_arpc,external_isc_customer_yoy,external_isc_arpc_yoy,stock_close,stock_ret_1d,stock_ret_5d,stock_ret_20d,stock_vol_5d,stock_vol_20d,hsi_ret_1d,hsi_ret_5d,hsi_ret_20d,hktech_ret_1d,hktech_ret_5d,hktech_ret_20d,hscei_ret_1d,hscei_ret_5d,hscei_ret_20d,alpha_hsi_5d,alpha_hktech_5d,alpha_hscei_5d,alpha_hsi_20d,alpha_hktech_20d,alpha_hscei_20d,ret_9618_1d,ret_9618_5d,ret_9618_20d,ret_3690_1d,ret_3690_5d,ret_3690_20d,ret_9988_1d,ret_9988_5d,ret_9988_20d,ret_2057_1d,ret_2057_5d,ret_2057_20d,alpha_vs_9618_5d,alpha_vs_3690_5d,alpha_vs_9988_5d,alpha_vs_2057_5d,row_quality_flag,missing_ratio,feature_count_total,feature_count_nonnull,build_version,built_at_x,y_ret_1d,y_ret_5d,y_ret_20d,y_up_1d,label_version,built_at_y
02618.HK,2021-05-28,2021,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7,,,,,,0.0003850487064287,0.0234014935463786,-0.006103416479941,-0.0204643593947719,-0.0084333190867393,-0.0638225533021258,-0.0050514416165333,0.0085007142705935,-0.0231975443030568,,,,,,,-0.0070323488045006,-0.0221606648199447,-0.0801302931596091,-0.0242825607064018,-0.0363372093023255,-0.1423027166882277,-0.0067049808429119,-0.0028846153846153,-0.1037165082108901,-0.0178861788617886,-0.0420301348136399,-0.0328262610088071,,,,,REVIEW,0.752808988764045,89,22,model_features_v2.2,2026-03-23T17:01:25Z,-0.003597122302158362,0.12589928057553945,0.007194244604316502,0.0,model_labels_v1,2026-03-23T17:02:30Z
02618.HK,2021-05-31,2021,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.55,-0.0035971223021583,,,,,0.0009404482356896,0.0260289044236536,0.0148623771448304,0.0184376504059626,0.0289134538843487,-0.0251203510569962,0.0088543912085803,0.0232788653249753,0.00590010551142,,,,,,,0.0311614730878186,0.0311614730878186,-0.0254350736278448,0.1085972850678733,0.084870848708487,-0.0134228187919462,0.0173577627772421,0.0292682926829268,-0.0622222222222221,0.0289735099337749,-0.0016064257028112,0.0064777327935221,,,,,REVIEW,0.7415730337078652,89,23,model_features_v2.2,2026-03-23T17:01:25Z,0.10228640192539107,0.10469314079422376,0.012033694344163681,1.0,model_labels_v1,2026-03-23T17:02:30Z
02618.HK,2021-06-01,2021,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8,0.102286401925391,,,,,0.0108466715605897,0.0192709590790449,0.0391592500618882,0.0248496177978492,0.0376506833142396,0.0094617210487744,0.0093331583928517,0.0183569824351161,0.025926444506674,,,,,,,0.0226648351648353,0.0449122807017543,-0.0033467202141901,0.064625850340136,0.1315979754157628,0.067530695770805,0.034123222748815,0.0592233009708738,-0.0250223413762288,-0.0040225261464199,0.0,-0.0127591706539075,,,,,REVIEW,0.7415730337078652,89,23,model_features_v2.2,2026-03-23T17:01:25Z,-0.008733624454148492,-0.01091703056768556,-0.07641921397379914,0.0,model_labels_v1,2026-03-23T17:02:30Z
02618.HK,2021-06-02,2021,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4,-0.0087336244541484,,,,,-0.0057818650739785,0.0045124444516064,0.0259297674767151,-0.0085049616289456,0.020147513892915,-0.0059173454754397,-0.0035402639719764,0.0088673074061673,0.0172882187085254,,,,,,,0.0067159167226327,0.0424200278164117,-0.0033244680851063,-0.0038338658146964,0.1151645207439198,0.0685400959561344,-0.0174152153987167,0.0357487922705315,-0.0479573712255771,-0.005654281098546,-0.0112449799196787,-0.037529319781079,,,,,REVIEW,0.7415730337078652,89,23,model_features_v2.2,2026-03-23T17:01:25Z,0.03524229074889873,-0.016519823788546217,-0.08810572687224671,1.0,model_labels_v1,2026-03-23T17:02:30Z
02618.HK,2021-06-03,2021,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,0.0352422907488987,,,,,-0.0113179841912073,-0.0050550952832393,0.0192853256987302,-0.0085924882515088,0.0049803788337592,0.0069611120018748,-0.0114190466713105,-0.0019882596629131,0.0097846882216774,,,,,,,-0.0133422281521013,0.040084388185654,-0.0006756756756756,-0.0141116100064144,0.1309786607799852,0.0710801393728222,-0.0167910447761193,0.0095785440613027,-0.0418181818181817,0.016246953696182,0.0170731707317073,-0.0063542494042891,,,,,REVIEW,0.7415730337078652,89,23,model_features_v2.2,2026-03-23T17:01:25Z,-0.0010638297872339608,-0.06595744680851068,-0.13829787234042556,0.0,model_labels_v1,2026-03-23T17:02:30Z
02618.HK,2021-06-04,2021,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.95,-0.0010638297872339,0.1258992805755394,,0.0466717755644112,,-0.0016546968984013,-0.0070837486493289,0.0097997517936296,-0.0084146422123527,0.0173431034114428,-0.0050670589551018,-0.00195262344539,0.0011200989450894,0.0045804979480272,0.1329830292248683,0.1085561771640966,0.1247791816304499,,,,-0.0013522650439486,0.0460339943342775,0.0,-0.0169160702667533,0.1395173453996983,0.0573827851644506,-0.0028462998102467,0.013500482160077,-0.0514440433212997,-0.0135891286970423,0.021523178807947,-0.0080385852090032,0.0798652862412618,-0.0136180648241588,0.1123987984154624,0.1043761017675923,REVIEW,0.6404494382022472,89,32,model_features_v2.2,2026-03-23T17:01:25Z,-0.022364217252396235,-0.08945686900958472,-0.1693290734824282,0.0,model_labels_v1,2026-03-23T17:02:30Z
02618.HK,2021-06-07,2021,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9,-0.0223642172523962,0.1046931407942237,,0.0501538916456549,,-0.0045238103471527,-0.0125042021418917,0.0061735752246103,-0.0065356167023238,-0.0076033241407392,0.0110511614341997,-0.0053156920824493,-0.0129413506654748,0.0045985788683522,0.1171973429361155,0.112296464934963,0.1176344914596986,,,,-0.0209884901828029,-0.0068681318681318,-0.0116199589883801,-0.0072799470549305,0.0204081632653061,0.0608203677510608,0.0085632730732636,0.0047393364928909,-0.0354868061874431,-0.0024311183144247,-0.0096540627514079,0.0123355263157893,0.1115612726623556,0.0842849775289176,0.0999538043013328,0.1143472035456316,REVIEW,0.6404494382022472,89,32,model_features_v2.2,2026-03-23T17:01:25Z,-0.013071895424836666,-0.08496732026143783,-0.144880174291939,0.0,model_labels_v1,2026-03-23T17:02:30Z
02618.HK,2021-06-08,2021,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3,-0.0130718954248366,-0.0109170305676855,,0.022195126326305,,-0.0002049516314148,-0.0233005293878104,0.0064946918518404,-0.0076740111877433,-0.0390970581790424,0.0120453663571737,-0.0017380271787872,-0.0237682113368059,0.0073653836138827,0.0123834988201249,0.0281800276113568,0.0128511807691203,,,,-0.0041493775933609,-0.0329079919408999,0.0027855153203342,-0.01,-0.0511182108626198,0.1301369863013697,-0.0084905660377359,-0.0366636113657194,-0.0232342007434944,-0.0113728675873273,-0.0169628432956381,-0.0049059689288634,0.0219909613732144,0.0402011802949342,0.0257465807980339,0.0060458127279525,REVIEW,0.6404494382022472,89,32,model_features_v2.2,2026-03-23T17:01:25Z,-0.014348785871964642,-0.08167770419426035,-0.1556291390728476,0.0,model_labels_v1,2026-03-23T17:02:30Z
02618.HK,2021-06-09,2021,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.65,-0.0143487858719646,-0.0165198237885462,,0.0227560922146199,,-0.0013463565680311,-0.0189431769543054,0.0260164540274956,-0.0011176530288773,-0.0319376813882041,0.0421468610451678,-0.0023085405807649,-0.0225614917014157,0.0261897992558819,0.0024233531657592,0.0154178575996579,0.0060416679128695,,,,-0.0229166666666666,-0.0613742494996665,0.0337986774430565,-0.0127946127946128,-0.0596536241180244,0.1775100401606424,-0.0104662226450998,-0.0298507462686566,0.0019267822736031,0.0271158586688577,0.0154346060113728,0.0477787091366304,0.0448544257111203,0.0431338003294782,0.0133309224801104,-0.031954429799919,REVIEW,0.6404494382022472,89,32,model_features_v2.2,2026-03-23T17:01:25Z,-0.016797312430011146,-0.05935050391937291,-0.13325867861142204,0.0,model_labels_v1,2026-03-23T17:02:30Z
02618.HK,2021-06-10,2021,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9,-0.0167973124300111,-0.0659574468085106,,0.0078263080651464,,-0.0001304682278552,-0.007841944512244,0.0179887102990183,-0.0003662778518557,-0.0239051778833316,0.0137371234343952,0.0010771174887316,-0.0102061736923858,0.0151289629311128,-0.0581155022962666,-0.0420522689251789,-0.0557512731161248,,,,0.0071073205401563,-0.0419202163624071,-0.0104748603351955,0.0163710777626193,-0.0305790500975926,0.1677115987460815,-0.0019230769230769,-0.015180265654649,-0.0572207084468664,-0.008,-0.0087929656274979,0.0333333333333334,-0.0240372304461035,-0.035378396710918,-0.0507771811538616,-0.0571644811810126,REVIEW,0.6404494382022472,89,32,model_features_v2.2,2026-03-23T17:01:25Z,-0.026195899772209486,-0.04555808656036442,-0.12072892938496582,0.0,model_labels_v1,2026-03-23T17:02:30Z
