symbol,market,asset_type,trade_date,open,high,low,close,prev_close,volume,amount,pct_change,ret_1d,log_ret_1d,quality_flag,ingest_time,data_version,ts_code,pre_close,vol
02618.HK,HK,equity,2026-03-13,14.0,14.25,13.52,13.64,,28493558.0,393818850.19,,,,PASS,,D20260316.01,,,
,,,20260102,11.53,11.83,11.42,11.82,,,43203783.56,,,,,,,02618.HK,11.42,3681793.0
,,,20260105,11.68,11.84,11.63,11.65,,,131986227.4,,,,,,,02618.HK,11.82,11262922.0
,,,20260106,11.75,11.78,11.63,11.63,,,121432052.38,,,,,,,02618.HK,11.65,10391189.0
,,,20260107,11.66,11.66,11.47,11.55,,,142047664.03,,,,,,,02618.HK,11.63,12314379.0
,,,20260108,11.55,11.55,11.16,11.24,,,243028510.76,,,,,,,02618.HK,11.55,21558987.0
,,,20260109,11.33,11.6,11.24,11.6,,,155225968.85,,,,,,,02618.HK,11.24,13532131.0
,,,20260112,11.63,11.65,11.5,11.6,,,132362948.34,,,,,,,02618.HK,11.6,11435243.0
,,,20260113,11.68,11.9,11.68,11.82,,,147655514.84,,,,,,,02618.HK,11.6,12514367.0
,,,20260114,11.8,11.8,11.57,11.63,,,228868338.25,,,,,,,02618.HK,11.82,19642682.0
,,,20260115,11.69,11.8,11.54,11.68,,,115381450.28,,,,,,,02618.HK,11.63,9898630.0
,,,20260116,11.76,11.77,11.48,11.51,,,116794785.47,,,,,,,02618.HK,11.68,10096105.0
,,,20260119,11.46,11.48,11.27,11.27,,,119077597.39,,,,,,,02618.HK,11.51,10488259.0
,,,20260120,11.31,11.4,11.26,11.29,,,70329895.91,,,,,,,02618.HK,11.27,6209103.0
,,,20260121,11.21,11.42,11.2,11.37,,,85444376.26,,,,,,,02618.HK,11.29,7540723.0
,,,20260122,11.42,11.53,11.39,11.52,,,120704991.08,,,,,,,02618.HK,11.37,10527619.0
,,,20260123,11.56,11.59,11.35,11.38,,,84343999.01,,,,,,,02618.HK,11.52,7391913.0
,,,20260126,11.42,11.45,11.21,11.29,,,113561933.24,,,,,,,02618.HK,11.38,10077822.0
,,,20260127,11.29,11.54,11.29,11.47,,,199244369.08,,,,,,,02618.HK,11.29,17389356.0
,,,20260128,11.47,11.56,11.4,11.54,,,95346458.57,,,,,,,02618.HK,11.47,8294121.0
,,,20260129,11.47,11.56,11.36,11.38,,,182219475.8,,,,,,,02618.HK,11.54,15950424.0
,,,20260130,11.29,11.32,11.13,11.19,,,151371780.34,,,,,,,02618.HK,11.38,13507441.0
,,,20260202,11.15,11.15,10.83,10.95,,,168974488.52,,,,,,,02618.HK,11.19,15436787.0
,,,20260203,11.1,11.18,10.86,10.93,,,86162518.41,,,,,,,02618.HK,10.95,7845784.0
,,,20260204,11.02,11.14,10.9,11.04,,,91465345.07,,,,,,,02618.HK,10.93,8306613.0
,,,20260205,11.04,11.27,10.94,11.25,,,114553643.88,,,,,,,02618.HK,11.04,10251365.0
,,,20260206,11.11,11.15,11.04,11.1,,,81599769.91,,,,,,,02618.HK,11.25,7356081.0
,,,20260209,11.27,11.38,11.2,11.29,,,83952091.23,,,,,,,02618.HK,11.1,7436270.0
,,,20260210,11.3,11.57,11.3,11.48,,,126759002.94,,,,,,,02618.HK,11.29,11040179.0
,,,20260211,11.6,11.63,11.46,11.52,,,55002228.23,,,,,,,02618.HK,11.48,4768790.0
,,,20260212,11.52,11.52,11.31,11.32,,,41805262.7,,,,,,,02618.HK,11.52,3684490.0
,,,20260213,11.23,11.35,11.17,11.3,,,59799828.9,,,,,,,02618.HK,11.32,5307777.0
,,,20260216,11.3,11.5,11.11,11.27,,,20920573.75,,,,,,,02618.HK,11.3,1868417.0
,,,20260220,11.26,11.26,11.08,11.14,,,41634711.24,,,,,,,02618.HK,11.27,3731678.0
,,,20260223,11.24,11.64,11.21,11.52,,,57590784.21,,,,,,,02618.HK,11.14,4994531.0
,,,20260224,11.42,11.46,11.18,11.28,,,107959696.73,,,,,,,02618.HK,11.52,9586581.0
,,,20260225,11.33,11.48,11.27,11.29,,,63093378.07,,,,,,,02618.HK,11.28,5550933.0
,,,20260226,11.35,11.44,11.07,11.07,,,109288070.01,,,,,,,02618.HK,11.29,9794878.0
,,,20260227,11.09,11.23,11.06,11.17,,,128317283.35,,,,,,,02618.HK,11.07,11506777.0
,,,20260302,10.99,11.02,10.82,10.85,,,121705246.65,,,,,,,02618.HK,11.17,11151699.0
,,,20260303,10.9,11.0,10.65,10.71,,,107914629.57,,,,,,,02618.HK,10.85,10038413.0
,,,20260304,10.7,10.7,10.31,10.45,,,148958810.82,,,,,,,02618.HK,10.71,14266478.0
,,,20260305,10.51,10.58,10.2,10.27,,,135731897.4,,,,,,,02618.HK,10.45,13116024.0
,,,20260306,10.93,12.66,10.9,12.63,,,1385900006.83,,,,,,,02618.HK,10.27,114613462.0
,,,20260309,12.02,12.88,12.0,12.83,,,466787234.8,,,,,,,02618.HK,12.63,37101020.0
,,,20260310,12.96,13.58,12.87,13.29,,,600498887.45,,,,,,,02618.HK,12.83,45057993.0
,,,20260311,13.29,13.7,13.25,13.63,,,436076438.04,,,,,,,02618.HK,13.29,32088883.0
,,,20260312,13.63,14.2,13.56,14.2,,,509631370.67,,,,,,,02618.HK,13.63,36274085.0
,,,20260313,14.0,14.25,13.52,13.64,,,393818850.19,,,,,,,02618.HK,14.2,28493558.0
