ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
01519.HK,20231027,12.0,12.2,11.8,12.0,12.0,0.0,0.0,21003699.0,251546793.98
01519.HK,20231030,12.0,12.0,11.82,12.0,12.0,0.0,0.0,4884200.0,58507048.0
01519.HK,20231031,12.0,12.0,11.86,11.86,12.0,-0.14,-1.17,2782600.0,33154700.0
01519.HK,20231101,11.8,12.0,11.8,12.0,11.86,0.14,1.18,2932400.0,35045984.0
01519.HK,20231102,11.98,12.6,11.94,12.58,12.0,0.58,4.83,5395200.0,66474784.0
01519.HK,20231103,12.7,12.8,12.22,12.4,12.58,-0.18,-1.43,4447200.0,55632764.0
01519.HK,20231106,12.34,12.54,12.08,12.4,12.4,0.0,0.0,4620800.0,56723234.0
01519.HK,20231107,12.4,12.4,12.12,12.38,12.4,-0.02,-0.16,4520800.0,55260724.0
01519.HK,20231108,12.3,12.58,12.22,12.3,12.38,-0.08,-0.65,4601400.0,57267468.0
01519.HK,20231109,12.3,12.4,11.8,12.14,12.3,-0.16,-1.3,4552400.0,54959328.0
01519.HK,20231110,12.0,12.2,11.96,12.0,12.14,-0.14,-1.15,5276800.0,63475168.0
01519.HK,20231113,12.0,12.02,11.9,12.0,12.0,0.0,0.0,6423200.0,76891968.0
01519.HK,20231114,12.0,12.02,11.7,12.0,12.0,0.0,0.0,11438800.0,136103112.0
01519.HK,20231115,12.0,12.0,11.78,12.0,12.0,0.0,0.0,15013400.0,178886892.0
01519.HK,20231116,12.0,12.08,11.88,12.0,12.0,0.0,0.0,12178200.0,146052716.0
01519.HK,20231117,12.0,12.0,11.58,11.6,12.0,-0.4,-3.33,5653600.0,66624472.0
01519.HK,20231120,11.5,11.72,11.3,11.56,11.6,-0.04,-0.34,3119000.0,35787204.0
01519.HK,20231121,11.58,11.6,10.98,11.4,11.56,-0.16,-1.38,2067200.0,23575012.0
01519.HK,20231122,11.1,11.8,11.1,11.54,11.4,0.14,1.23,2368400.0,27485288.0
01519.HK,20231123,11.58,11.98,10.72,11.96,11.54,0.42,3.64,4464400.0,51781748.0
01519.HK,20231124,11.96,12.18,11.4,12.06,11.96,0.1,0.84,3024600.0,35965800.0
01519.HK,20231127,12.06,12.16,11.82,11.86,12.06,-0.2,-1.66,2221800.0,26594804.0
01519.HK,20231128,11.9,12.04,11.68,11.76,11.86,-0.1,-0.84,2465000.0,29153256.0
01519.HK,20231129,11.8,12.08,11.68,11.98,11.76,0.22,1.87,2804600.0,33192808.0
01519.HK,20231130,11.98,12.9,11.88,12.8,11.98,0.82,6.84,5078900.0,63537113.0
01519.HK,20231201,12.8,14.04,12.8,13.98,12.8,1.18,9.22,6253800.0,84000836.0
01519.HK,20231204,13.9,13.96,12.94,13.2,13.98,-0.78,-5.58,4493400.0,59794880.0
01519.HK,20231205,13.2,13.3,12.8,13.06,13.2,-0.14,-1.06,4489600.0,58573632.0
01519.HK,20231206,13.06,13.28,12.82,12.98,13.06,-0.08,-0.61,4489400.0,58656284.4
